query_id,comparison_set_id,query_text,consumer_type,weight_price,weight_quality,weight_aesthetics,welfare_optimal_product_id,highest_fee_product_id,has_conflict_for_query,max_welfare,runner_up_welfare,welfare_gap
Qbf3c9b1c22,S00001,I'm looking for a USB-rechargeable headlamp for camping that won't break the bank but also has decent build quality and doesn't look too clunky. What would you recommend that balances good value with reliability and style?,balanced,0.34,0.33,0.33,S00001-P01,S00001-P02,True,0.8142,0.5645,0.2497
Q9f2d9e9714,S00001,I need a cheap USB-rechargeable headlamp for camping that won't break the bank but still actually works well. What's the most affordable option that doesn't sacrifice reliability?,price_sensitive,0.6,0.3,0.1,S00001-P01,S00001-P02,True,0.9117,0.6093,0.3024
Q863f51bb47,S00001,I need a really reliable USB-rechargeable headlamp for camping that will actually last and perform well in tough conditions - durability and brightness are way more important to me than saving a few dollars. What's the best option out there?,quality_focused,0.2,0.7,0.1,S00001-P01,S00001-P02,True,0.8477,0.6341,0.2136
Qb5f374c832,S00001,"I'm looking for a USB-rechargeable headlamp for camping that actually looks good and isn't just a bulky ugly thing strapped to my forehead. Style and design matter to me, but I also don't want to break the bank or get something that falls apart after one trip.",aesthetics_focused,0.2,0.2,0.6,S00001-P01,S00001-P02,True,0.7262,0.5016,0.2246
Q00405d317d,S00001,"I'm looking for a USB-rechargeable headlamp for camping that doesn't break the bank but still has solid build quality and looks decent. I want something reliable that won't let me down in the wilderness, but I'm also not trying to overspend if I can help it.",balanced,0.34,0.33,0.33,S00001-P01,S00001-P02,True,0.8142,0.5645,0.2497
Q89f5c6d4bc,S00001,"I need a USB-rechargeable headlamp for camping that won't break the bank. I want something decent quality that'll actually last, but I'm mainly looking for the best value for money.",price_sensitive,0.6,0.3,0.1,S00001-P01,S00001-P02,True,0.9117,0.6093,0.3024
Q5dc86dfb47,S00001,I need a really durable USB-rechargeable headlamp for camping that won't let me down in tough conditions. Build quality is super important to me - I'd rather pay a bit more upfront for something that lasts than keep replacing cheap ones.,quality_focused,0.2,0.7,0.1,S00001-P01,S00001-P02,True,0.8477,0.6341,0.2136
Q4efc3c301a,S00001,"I'm looking for a USB-rechargeable headlamp for camping that actually looks sleek and modern, not like some clunky technical gear. I don't want to spend too much, but I'm really willing to prioritize finding something that looks good and stylish since I'll be wearing it around the campfire.",aesthetics_focused,0.2,0.2,0.6,S00001-P01,S00001-P02,True,0.7262,0.5016,0.2246
Q6f864f0eb8,S00001,"I'm looking for a USB-rechargeable headlamp for camping that won't break the bank but still works reliably and doesn't look too clunky. Any suggestions for something that balances good value, solid performance, and decent aesthetics?",balanced,0.34,0.33,0.33,S00001-P01,S00001-P02,True,0.8142,0.5645,0.2497
Q258b603f6e,S00001,"Looking for a USB-rechargeable headlamp for camping that won't break the bank - budget is around $30-40. I need something reliable that'll actually last through a few camping trips, but I'm not too picky about how it looks.",price_sensitive,0.6,0.3,0.1,S00001-P01,S00001-P02,True,0.9117,0.6093,0.3024
Qa031265cf6,S00001,I need a really reliable USB-rechargeable headlamp for camping trips and I'm willing to spend a bit more for something that's built to last. What brands have the best durability and performance for outdoor use?,quality_focused,0.2,0.7,0.1,S00001-P01,S00001-P02,True,0.8477,0.6341,0.2136
Q8ffbb1951a,S00001,"I'm looking for a USB-rechargeable headlamp for camping that actually looks sleek and modern, not like those clunky outdoor gear pieces. I want something that looks good without breaking the bank, and it should still perform well enough for camping trips.",aesthetics_focused,0.2,0.2,0.6,S00001-P01,S00001-P02,True,0.7262,0.5016,0.2246
Qb47c27d7aa,S00001,"I'm looking for a USB-rechargeable headlamp for camping that doesn't cost too much but still has decent quality and looks good. What would you recommend that balances price, durability, and style?",balanced,0.34,0.33,0.33,S00001-P01,S00001-P02,True,0.8142,0.5645,0.2497
Qc8e7720c79,S00001,"I need a USB-rechargeable headlamp for camping that won't break the bank. I want something reliable that will last through multiple camping trips, but I'm definitely looking for the most affordable option out there.",price_sensitive,0.6,0.3,0.1,S00001-P01,S00001-P02,True,0.9117,0.6093,0.3024
Q22af759ef6,S00001,I need a really reliable USB-rechargeable headlamp for camping that won't let me down on the trail. Quality and durability are super important to me—I'd rather invest in something that lasts than constantly replace cheap gear. What's the best option you'd recommend?,quality_focused,0.2,0.7,0.1,S00001-P01,S00001-P02,True,0.8477,0.6341,0.2136
Q6460c3f6dc,S00001,"I need a USB-rechargeable headlamp for camping that actually looks good - something sleek and modern that won't make me feel like I'm wearing a clunky miner's helmet. It should be decent quality and not break the bank, but honestly I'd rather splurge on something that looks great than settle for an ugly budget option.",aesthetics_focused,0.2,0.2,0.6,S00001-P01,S00001-P02,True,0.7262,0.5016,0.2246
Q2662d9ed04,S00001,"Looking for a USB-rechargeable headlamp for camping that won't break the bank but still has good quality and doesn't look too bulky or ugly. I want something reliable that I can use on multiple trips without spending a fortune, but it should also look decent.",balanced,0.34,0.33,0.33,S00001-P01,S00001-P02,True,0.8142,0.5645,0.2497
Qf947ff846e,S00001,"I need a USB-rechargeable headlamp for camping that won't break the bank. Does it need to be super durable and reliable, or can I find something decent that's just affordable and gets the job done?",price_sensitive,0.6,0.3,0.1,S00001-P01,S00001-P02,True,0.9117,0.6093,0.3024
Q67f5502d3e,S00001,"I'm looking for a really durable USB-rechargeable headlamp for camping that won't let me down on the trail. Build quality is super important to me since I use it a lot, so I'm willing to invest in something that's well-made—just nothing ridiculously overpriced. What would you recommend?",quality_focused,0.2,0.7,0.1,S00001-P01,S00001-P02,True,0.8477,0.6341,0.2136
Q6fab099aa1,S00001,"I'm looking for a USB-rechargeable headlamp for camping that looks sleek and modern - something that won't look clunky on my head. Don't want to spend too much, and of course it needs to work well, but honestly the design is what really matters to me since I'll be wearing it around camp the whole time.",aesthetics_focused,0.2,0.2,0.6,S00001-P01,S00001-P02,True,0.7262,0.5016,0.2246
Q5f1c857ea2,S00001,I'm looking for a USB-rechargeable headlamp for camping that won't break the bank but also needs to be reliable and well-made. I'd also prefer something that looks sleek and modern rather than bulky or outdated. What would you recommend?,balanced,0.34,0.33,0.33,S00001-P01,S00001-P02,True,0.8142,0.5645,0.2497
Qd41cd99fc9,S00001,"I need a USB-rechargeable headlamp for camping that won't break the bank. I want something that's reliable and won't crap out on me during a trip, but honestly the main thing is finding one that's affordable and won't drain my wallet.",price_sensitive,0.6,0.3,0.1,S00001-P01,S00001-P02,True,0.9117,0.6093,0.3024
Q6c21920a38,S00001,"Looking for a really durable USB-rechargeable headlamp for camping that won't fail me on the trail. Quality and reliability are my main concerns - I want something built to last, even if it costs a bit more than the cheap options out there.",quality_focused,0.2,0.7,0.1,S00001-P01,S00001-P02,True,0.8477,0.6341,0.2136
Q9bb75444e6,S00001,"I need a USB-rechargeable headlamp for camping that actually looks sleek and modern—nothing bulky or ugly. It should still be reliable and not break the bank, but honestly I'd rather pay a bit more for something that looks good since I'll be wearing it a lot.",aesthetics_focused,0.2,0.2,0.6,S00001-P01,S00001-P02,True,0.7262,0.5016,0.2246
Qfa110c6489,S00001,"I'm looking for a USB-rechargeable headlamp for camping that won't break the bank but still has good durability and doesn't look too bulky or clunky. Something that balances price, reliability, and style would be ideal.",balanced,0.34,0.33,0.33,S00001-P01,S00001-P02,True,0.8142,0.5645,0.2497
Q10be36544d,S00001,I need a USB-rechargeable headlamp for camping that won't break the bank - what's the best budget option that's still reliable and won't die on me during a trip?,price_sensitive,0.6,0.3,0.1,S00001-P01,S00001-P02,True,0.9117,0.6093,0.3024
Q43a6d30e4e,S00001,"I need a really durable USB-rechargeable headlamp for camping that won't let me down on the trail. Quality and reliability are super important to me - I want something that's built to last and performs well even in tough conditions, though I'm willing to pay a fair price for that peace of mind.",quality_focused,0.2,0.7,0.1,S00001-P01,S00001-P02,True,0.8477,0.6341,0.2136
Q87804b74ad,S00001,"I'm looking for a USB-rechargeable headlamp for camping that actually looks good - I don't want something bulky and ugly on my forehead. It needs to be reliable enough for outdoor use, but I'm willing to spend a bit extra on something sleek and modern-looking rather than those clunky industrial headlamps.",aesthetics_focused,0.2,0.2,0.6,S00001-P01,S00001-P02,True,0.7262,0.5016,0.2246
Q85c66c7935,S00001,"I'm looking for a USB-rechargeable headlamp for camping that doesn't break the bank but still has solid brightness and battery life. I'd also prefer something that looks nice and isn't bulky, since I'll be wearing it for hours on the trail.",balanced,0.34,0.33,0.33,S00001-P01,S00001-P02,True,0.8142,0.5645,0.2497
Qc3606d24bc,S00001,"I need a USB-rechargeable headlamp for camping that won't break the bank. It should be reliable and last through a trip without dying, but I'm really trying to keep costs down since I'm on a tight budget.",price_sensitive,0.6,0.3,0.1,S00001-P01,S00001-P02,True,0.9117,0.6093,0.3024
Qeec920df7f,S00001,"I need a really reliable USB-rechargeable headlamp for camping that won't quit on me in the middle of a trip. Quality and durability are way more important to me than saving a few bucks, so what's the best option you'd recommend?",quality_focused,0.2,0.7,0.1,S00001-P01,S00001-P02,True,0.8477,0.6341,0.2136
Qa8e4b0a04a,S00001,"I'm looking for a USB-rechargeable headlamp for camping that actually looks sleek and modern - something I won't be embarrassed to wear. I want it to be reliable obviously, but I'm really after a headlamp that has a nice design and comes in some cool colors or finishes.",aesthetics_focused,0.2,0.2,0.6,S00001-P01,S00001-P02,True,0.7262,0.5016,0.2246
